[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.003s][info][gc       ] Using G1
[0.433s][info][metaspace] Reserving compressed class space anywhere
[0.433s][info][gc,metaspace] CDS archive(s) not mapped
[0.433s][info][gc,metaspace] Compressed class space mapped at: 0x00007ffedb000000-0x00007fff9b000000, reserved size: 3221225472
[0.433s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, Use2c0 1narrow klass pointer bits 22, max shift 6
[0.433s][info][gc,metaspace] Narrow klass base: 0x00007ffedb000000, Narrow klass shift: 6, Narrow klass range: 0xc0000000
Num Classes: 2048
Num Objects per Class: 32768
Cycles: 100
Class association: random
Generate 2048 classes...[1.374s][info][gc,metaspace] GC(0) Metaspace: 25327K(26496K)->25327K(26496K) NonClass: 19780K(20032K)->19780K(20032K) Class: 5547K(6464K)->5547K(6464K)
[42.320s][info][gc,metaspace] GC(65) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[42.320s][info][gc          ] GC(65) Pause Full (System.gc()) 778M->778M(6144M) 378.933ms
[42.726s][info][gc,metaspace] GC(66) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[42.726s][info][gc          ] GC(66) Pause Full (System.gc()) 778M->778M(6144M) 406.390ms
[43.167s][info][gc,metaspace] GC(67) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[43.167s][info][gc          ] GC(67) Pause Full (System.gc()) 778M->778M(6144M) 440.727ms
[43.592s][info][gc,metaspace] GC(68) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[43.592s][info][gc          ] GC(68) Pause Full (System.gc()) 778M->778M(6144M) 425.322ms
[43.990s][info][gc,metaspace] GC(69) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[43.991s][info][gc          ] GC(69) Pause Full (System.gc()) 778M->778M(6144M) 398.180ms
[44.375s][info][gc,metaspace] GC(70) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[44.375s][info][gc          ] GC(70) Pause Full (System.gc()) 778M->778M(6144M) 384.126ms
