[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.005s][info][gc       ] Using G1
[0.419s][info][metaspace] Reserving compressed class space anywhere
[0.419s][info][gc,metaspace] CDS archive(s) not mapped
[0.419s][info][gc,metaspace] Compressed class space mapped at: 0x00007ffedb000000-0x00007fff9b000000, reserved size: 3221225472
[0.419s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, Use2c0 0narrow klass pointer bits 22, max shift 10
[0.419s][info][gc,metaspace] Narrow klass base: 0x00007ffedb000000, Narrow klass shift: 10, Narrow klass range: 0xc0000000
Num Classes: 512
Num Objects per Class: 131072
Cycles: 100
Class association: random
Generate 512 classes...[1.352s][info][gc,metaspace] GC(0) Metaspace: 22076K(22464K)->22076K(22464K) NonClass: 18265K(18496K)->18265K(18496K) Class: 3811K(3968K)->3811K(3968K)
[24.178s][info][gc          ] GC(46) Pause Full (System.gc()) 775M->775M(6144M) 362.918ms
[24.536s][info][gc,metaspace] GC(47) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[24.536s][info][gc          ] GC(47) Pause Full (System.gc()) 775M->775M(6144M) 357.789ms
[24.935s][info][gc,metaspace] GC(48) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[24.935s][info][gc          ] GC(48) Pause Full (System.gc()) 775M->775M(6144M) 399.038ms
[25.308s][info][gc,metaspace] GC(49) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[25.308s][info][gc          ] GC(49) Pause Full (System.gc()) 775M->775M(6144M) 372.933ms
[25.687s][info][gc,metaspace] GC(50) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[25.687s][info][gc          ] GC(50) Pause Full (System.gc()) 775M->775M(6144M) 379.279ms
[26.057s][info][gc,metaspace] GC(51) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[26.057s][info][gc          ] GC(51) Pause Full (System.gc()) 775M->775M(6144M) 369.876ms
[26.425s][info][gc,metaspace] GC(52) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[26.425s][info][gc          ] GC(52) Pause Full (System.gc()) 775M->775M(6144M) 367.653ms
[26.792s][info][gc,metaspace] GC(53) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[26.792s][info][gc          ] GC(53) Pause Full (System.gc()) 775M->775M(6144M) 367.746ms
[27.162s][info][gc,metaspace] GC(54) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[27.162s][info][gc          ] GC(54) Pause Full (System.gc()) 775M->775M(6144M) 369.694ms
[27.538s][info][gc,metaspace] GC(55) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[27.538s][info][gc          ] GC(55) Pause Full (System.gc()) 775M->775M(6144M) 375.601ms
[27.964s][info][gc,metaspace] GC(56) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[27.964s][info][gc          ] GC(56) Pause Full (System.gc()) 775M->775M(6144M) 426.097ms
[28.375s][info][gc,metaspace] GC(57) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[28.377s][info][gc          ] GC(57) Pause Full (System.gc()) 775M->775M(6144M) 413.344ms
[28.799s][info][gc,metaspace] GC(58) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[28.799s][info][gc          ] GC(58) Pause Full (System.gc()) 775M->775M(6144M) 421.858ms
[29.175s][info][gc,metaspace] GC(59) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[29.175s][info][gc          ] GC(59) Pause Full (System.gc()) 775M->775M(6144M) 375.264ms
[29.536s][info][gc,metaspace] GC(60) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[29.536s][info][gc          ] GC(60) Pause Full (System.gc()) 775M->775M(6144M) 361.630ms
[29.914s][info][gc,metaspace] GC(61) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[29.914s][info][gc          ] GC(61) Pause Full (System.gc()) 775M->775M(6144M) 377.937ms
[30.268s][info][gc,metaspace] GC(62) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[30.268s][info][gc          ] GC(62) Pause Full (System.gc()) 775M->775M(6144M) 353.741ms
[30.669s][info][gc,metaspace] GC(63) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[30.669s][info][gc          ] GC(63) Pause Full (System.gc()) 775M->775M(6144M) 401.198ms
[31.029s][info][gc,metaspace] GC(64) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[31.029s][info][gc          ] GC(64) Pause Full (System.gc()) 775M->775M(6144M) 359.863ms
[31.395s][info][gc,metaspace] GC(65) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[31.395s][info][gc          ] GC(65) Pause Full (System.gc()) 775M->775M(6144M) 365.589ms
[31.781s][info][gc,metaspace] GC(66) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[31.781s][info][gc          ] GC(66) Pause Full (System.gc()) 775M->775M(6144M) 386.214ms
[32.147s][info][gc,metaspace] GC(67) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[32.148s][info][gc          ] GC(67) Pause Full (System.gc()) 775M->775M(6144M) 366.370ms
[32.539s][info][gc,metaspace] GC(68) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[32.539s][info][gc          ] GC(68) Pause Full (System.gc()) 775M->775M(6144M) 391.166ms
[32.927s][info][gc,metaspace] GC(69) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[32.927s][info][gc          ] GC(69) Pause Full (System.gc()) 775M->775M(6144M) 387.811ms
[33.281s][info][gc,metaspace] GC(70) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[33.281s][info][gc          ] GC(70) Pause Full (System.gc()) 775M->775M(6144M) 354.002ms
[33.681s][info][gc,metaspace] GC(71) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[33.681s][info][gc          ] GC(71) Pause Full (System.gc()) 775M->775M(6144M) 400.072ms
[34.051s][info][gc,metaspace] GC(72) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[34.051s][info][gc          ] GC(72) Pause Full (System.gc()) 775M->775M(6144M) 370.546ms
[34.421s][info][gc,metaspace] GC(73) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[34.421s][info][gc          ] GC(73) Pause Full (System.gc()) 775M->775M(6144M) 369.367ms
[34.817s][info][gc,metaspace] GC(74) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
