[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.005s][info][gc       ] Using G1
[0.444s][info][metaspace] Reserving compressed class space anywhere
[0.444s][info][gc,metaspace] CDS archive(s) not mapped
[0.444s][info][gc,metaspace] Compressed class space mapped at: 0x0000000009000000-0x00000000c9000000, reserved size: 3221225472
[0.444s][info][gc,metaspace] Narrow klass base: 0x0000000000000000, Narrow klass shift: 0, Narrow klass range: 0xc9000000
Num Classes: 2048
Num Objects per Class: 32768
Cycles: 100
Class association: random
Generate 2048 classes...[1.326s][info][gc,metaspace] GC(0) Metaspace: 21975K(22144K)->21975K(22144K) NonClass: 19669K(19776K)->19669K(19776K) Class: 2305K(2368K)->2305K(2368K)
[47.487s][info][gc          ] GC(73) Pause Full (System.gc()) 1291M->1291M(6144M) 427.754ms
[47.927s][info][gc,metaspace] GC(74) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[47.927s][info][gc          ] GC(74) Pause Full (System.gc()) 1291M->1291M(6144M) 439.879ms
[48.354s][info][gc,metaspace] GC(75) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[48.354s][info][gc          ] GC(75) Pause Full (System.gc()) 1291M->1291M(6144M) 426.793ms
[48.773s][info][gc,metaspace] GC(76) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[48.773s][info][gc          ] GC(76) Pause Full (System.gc()) 1291M->1291M(6144M) 419.145ms
[49.248s][info][gc,metaspace] GC(77) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[49.248s][info][gc          ] GC(77) Pause Full (System.gc()) 1291M->1291M(6144M) 470.434ms
[49.673s][info][gc,metaspace] GC(78) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[49.673s][info][gc          ] GC(78) Pause Full (System.gc()) 1291M->1291M(6144M) 425.217ms
[50.103s][info][gc,metaspace] GC(79) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[50.103s][info][gc          ] GC(79) Pause Full (System.gc()) 1291M->1291M(6144M) 429.693ms
[50.527s][info][gc,metaspace] GC(80) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[50.527s][info][gc          ] GC(80) Pause Full (System.gc()) 1291M->1291M(6144M) 423.836ms
[50.982s][info][gc,metaspace] GC(81) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[50.982s][info][gc          ] GC(81) Pause Full (System.gc()) 1291M->1291M(6144M) 455.070ms
[51.420s][info][gc,metaspace] GC(82) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[51.421s][info][gc          ] GC(82) Pause Full (System.gc()) 1291M->1291M(6144M) 438.372ms
