Done; will start GCs... 
[533.073s][info][gc          ] GC(101) Pause Full (System.gc()) 195M->195M(3959M) 5258.590ms
[538.336s][info][gc,metaspace] GC(102) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[538.337s][info][gc          ] GC(102) Pause Full (System.gc()) 195M->195M(3959M) 5262.694ms
[543.603s][info][gc,metaspace] GC(103) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[543.603s][info][gc          ] GC(103) Pause Full (System.gc()) 195M->195M(3959M) 5265.350ms
[548.858s][info][gc,metaspace] GC(104) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[548.858s][info][gc          ] GC(104) Pause Full (System.gc()) 195M->195M(3959M) 5254.797ms
[554.121s][info][gc,metaspace] GC(105) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[554.122s][info][gc          ] GC(105) Pause Full (System.gc()) 195M->195M(3959M) 5262.587ms
[559.383s][info][gc,metaspace] GC(106) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[559.383s][info][gc          ] GC(106) Pause Full (System.gc()) 195M->195M(3959M) 5260.666ms
[564.644s][info][gc,metaspace] GC(107) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[564.644s][info][gc          ] GC(107) Pause Full (System.gc()) 195M->195M(3959M) 5259.632ms
[569.901s][info][gc,metaspace] GC(108) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[569.902s][info][gc          ] GC(108) Pause Full (System.gc()) 195M->195M(3959M) 5256.612ms
[575.161s][info][gc,metaspace] GC(109) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[575.161s][info][gc          ] GC(109) Pause Full (System.gc()) 195M->195M(3959M) 5258.833ms
[580.421s][info][gc,metaspace] GC(110) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[580.421s][info][gc          ] GC(110) Pause Full (System.gc()) 195M->195M(3959M) 5259.265ms
[585.684s][info][gc,metaspace] GC(111) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[585.684s][info][gc          ] GC(111) Pause Full (System.gc()) 196M->195M(3959M) 5262.770ms
[590.941s][info][gc,metaspace] GC(112) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[590.941s][info][gc          ] GC(112) Pause Full (System.gc()) 195M->195M(3959M) 5255.903ms
[596.208s][info][gc,metaspace] GC(113) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
