[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.005s][info][gc       ] Using G1
[0.432s][info][metaspace] Reserving compressed class space anywhere
[0.432s][info][gc,metaspace] CDS archive(s) not mapped
[0.432s][info][gc,metaspace] Compressed class space mapped at: 0x000000003a000000-0x00000000fa000000, reserved size: 3221225472
[0.432s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, UseKlassTable 1, narrow klass pointer bits 22, max shift 10
[0.433s][info][gc,metaspace] Narrow klass base: 0x000000003a000000, Narrow klass shift: 10, Narrow klass range: 0xc0000000
Num Classes: 2048
Num Objects per Class: 32768
Cycles: 100
Class association: random
Generate 2048 classes...[1.454s][info][gc,metaspace] GC(0) Metaspace: 22121K(22272K)->22121K(22272K) NonClass: 22121K(22272K)->22121K(22272K) Class: 0K(0K)->0K(0K)
[49.899s][info][gc,metaspace] GC(76) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[49.899s][info][gc          ] GC(76) Pause Full (System.gc()) 778M->778M(6144M) 443.405ms
[50.346s][info][gc,metaspace] GC(77) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[50.346s][info][gc          ] GC(77) Pause Full (System.gc()) 778M->778M(6144M) 446.961ms
[50.804s][info][gc,metaspace] GC(78) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[50.804s][info][gc          ] GC(78) Pause Full (System.gc()) 778M->778M(6144M) 457.263ms
[51.270s][info][gc,metaspace] GC(79) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[51.270s][info][gc          ] GC(79) Pause Full (System.gc()) 778M->778M(6144M) 466.102ms
[51.720s][info][gc,metaspace] GC(80) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[51.720s][info][gc          ] GC(80) Pause Full (System.gc()) 778M->778M(6144M) 450.027ms
[52.163s][info][gc,metaspace] GC(81) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[52.163s][info][gc          ] GC(81) Pause Full (System.gc()) 778M->778M(6144M) 442.599ms
[52.596s][info][gc,metaspace] GC(82) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[52.596s][info][gc          ] GC(82) Pause Full (System.gc()) 778M->778M(6144M) 433.108ms
[53.059s][info][gc,metaspace] GC(83) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[53.059s][info][gc          ] GC(83) Pause Full (System.gc()) 778M->778M(6144M) 462.779ms
[53.511s][info][gc,metaspace] GC(84) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[53.511s][info][gc          ] GC(84) Pause Full (System.gc()) 778M->778M(6144M) 452.095ms
[53.980s][info][gc,metaspace] GC(85) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[53.980s][info][gc          ] GC(85) Pause Full (System.gc()) 778M->778M(6144M) 468.608ms
[54.445s][info][gc,metaspace] GC(86) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[54.445s][info][gc          ] GC(86) Pause Full (System.gc()) 778M->778M(6144M) 464.742ms
[54.896s][info][gc,metaspace] GC(87) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[54.896s][info][gc          ] GC(87) Pause Full (System.gc()) 778M->778M(6144M) 451.626ms
